--- Relatório Detalhado de Falhas de Localização ---

Arquivo                   | Score IoU
img_012306.jpg            | 0.000
img_014961.jpg            | 0.000
img_004871.jpg            | 0.000
img_010469.jpg            | 0.000
img_012614.jpg            | 0.000
img_001304.jpg            | 0.000
img_000276.jpg            | 0.000
img_010800.jpg            | 0.000
img_011005.jpg            | 0.000
img_010821.jpg            | 0.000
img_003778.jpg            | 0.000
img_010690.jpg            | 0.000
img_004899.jpg            | 0.000
img_001582.jpg            | 0.000
img_001972.jpg            | 0.000
img_004580.jpg            | 0.000
img_012725.jpg            | 0.000
img_003130.jpg            | 0.000
img_004669.jpg            | 0.000
img_002334.jpg            | 0.000
img_000609.jpg            | 0.000
img_001904.jpg            | 0.000
img_013242.jpg            | 0.000
img_000069.jpg            | 0.000
img_013471.jpg            | 0.000
img_012640.jpg            | 0.000
img_013293.jpg            | 0.000
img_014735.jpg            | 0.000
img_010214.jpg            | 0.000
img_010983.jpg            | 0.000
img_004208.jpg            | 0.000
img_013873.jpg            | 0.000
img_002163.jpg            | 0.000
img_003800.jpg            | 0.000
img_004578.jpg            | 0.000
img_000648.jpg            | 0.000
img_011744.jpg            | 0.000
img_004355.jpg            | 0.000
img_002651.jpg            | 0.000
img_000397.jpg            | 0.000
img_010586.jpg            | 0.000
img_004878.jpg            | 0.000
img_003830.jpg            | 0.000
img_010708.jpg            | 0.000
img_002173.jpg            | 0.000
img_014281.jpg            | 0.000
img_010838.jpg            | 0.000
img_003653.jpg            | 0.000
img_003422.jpg            | 0.000
img_004817.jpg            | 0.000
img_010667.jpg            | 0.000
img_000997.jpg            | 0.000
img_010511.jpg            | 0.000
img_010806.jpg            | 0.000
img_013451.jpg            | 0.000
img_001347.jpg            | 0.000
img_003642.jpg            | 0.000
img_012127.jpg            | 0.000
img_011079.jpg            | 0.000
img_000413.jpg            | 0.000
img_010666.jpg            | 0.000
img_003077.jpg            | 0.000
img_010689.jpg            | 0.000
img_000138.jpg            | 0.000
img_000175.jpg            | 0.000
img_003622.jpg            | 0.000
img_002419.jpg            | 0.000
img_010054.jpg            | 0.000
img_010630.jpg            | 0.000
img_012419.jpg            | 0.000
img_000369.jpg            | 0.000
img_004860.jpg            | 0.000
img_010224.jpg            | 0.000
img_000234.jpg            | 0.000
img_001423.jpg            | 0.000
img_001636.jpg            | 0.000
img_013172.jpg            | 0.000
img_012830.jpg            | 0.000
img_002156.jpg            | 0.000
img_011389.jpg            | 0.000
img_001705.jpg            | 0.000
img_003012.jpg            | 0.000
img_002583.jpg            | 0.000
img_013143.jpg            | 0.000
img_001380.jpg            | 0.000
img_002502.jpg            | 0.000
img_010907.jpg            | 0.000
img_012665.jpg            | 0.000
img_011865.jpg            | 0.000
img_010519.jpg            | 0.000
img_012720.jpg            | 0.000
img_000273.jpg            | 0.000
img_000606.jpg            | 0.000
img_001417.jpg            | 0.000
img_010151.jpg            | 0.000
img_002548.jpg            | 0.000
img_003722.jpg            | 0.000
img_000793.jpg            | 0.000
img_010895.jpg            | 0.000
img_001907.jpg            | 0.000
img_001528.jpg            | 0.000
img_002588.jpg            | 0.000
img_010622.jpg            | 0.000
img_013315.jpg            | 0.000
img_003345.jpg            | 0.000
img_001986.jpg            | 0.000
img_011252.jpg            | 0.000
img_004604.jpg            | 0.000
img_010449.jpg            | 0.000
img_010010.jpg            | 0.000
img_002427.jpg            | 0.000
img_000098.jpg            | 0.000
img_010460.jpg            | 0.000
img_001779.jpg            | 0.000
img_001933.jpg            | 0.000
img_000372.jpg            | 0.000
img_012707.jpg            | 0.000
img_001841.jpg            | 0.000
img_001866.jpg            | 0.000
img_011436.jpg            | 0.000
img_011843.jpg            | 0.000
img_000269.jpg            | 0.000
img_011728.jpg            | 0.000
img_014993.jpg            | 0.000
img_004425.jpg            | 0.000
img_013666.jpg            | 0.000
img_001171.jpg            | 0.000
img_013019.jpg            | 0.000
img_011135.jpg            | 0.000
img_004869.jpg            | 0.000
img_000422.jpg            | 0.000
img_002115.jpg            | 0.000
img_000502.jpg            | 0.000
img_010826.jpg            | 0.000
img_000915.jpg            | 0.000
img_001556.jpg            | 0.000
img_011552.jpg            | 0.000
img_004428.jpg            | 0.000
img_001624.jpg            | 0.000
img_011245.jpg            | 0.000
img_003948.jpg            | 0.000
img_011745.jpg            | 0.000
img_012697.jpg            | 0.000
img_010529.jpg            | 0.000
img_010835.jpg            | 0.000
img_014478.jpg            | 0.000
img_010113.jpg            | 0.000
img_003461.jpg            | 0.000
img_010096.jpg            | 0.000
img_010322.jpg            | 0.000
img_002747.jpg            | 0.000
img_004989.jpg            | 0.000
img_010646.jpg            | 0.000
img_004666.jpg            | 0.000
img_012390.jpg            | 0.000
img_004207.jpg            | 0.000
img_004209.jpg            | 0.000
img_014280.jpg            | 0.000
img_004426.jpg            | 0.000
img_003410.jpg            | 0.000
img_000835.jpg            | 0.000
img_011169.jpg            | 0.000
img_011202.jpg            | 0.000
img_000126.jpg            | 0.000
img_013112.jpg            | 0.000
img_002993.jpg            | 0.000
img_004349.jpg            | 0.000
img_011142.jpg            | 0.000
img_002367.jpg            | 0.000
img_013791.jpg            | 0.000
img_010641.jpg            | 0.000
img_010744.jpg            | 0.000
img_003419.jpg            | 0.000
img_000337.jpg            | 0.000
img_010611.jpg            | 0.000
img_003982.jpg            | 0.000
img_011156.jpg            | 0.000
img_004328.jpg            | 0.000
img_010257.jpg            | 0.000
img_010268.jpg            | 0.000
img_000320.jpg            | 0.000
img_010588.jpg            | 0.000
img_001631.jpg            | 0.000
img_000016.jpg            | 0.000
img_000582.jpg            | 0.000
img_004650.jpg            | 0.000
img_012520.jpg            | 0.000
img_011907.jpg            | 0.000
img_000774.jpg            | 0.000
img_011870.jpg            | 0.000
img_010218.jpg            | 0.000
img_000969.jpg            | 0.000
img_001336.jpg            | 0.000
img_011607.jpg            | 0.000
img_004380.jpg            | 0.000
img_010525.jpg            | 0.000
img_013373.jpg            | 0.000
img_010526.jpg            | 0.000
img_010683.jpg            | 0.000
img_002243.jpg            | 0.000
img_000038.jpg            | 0.000
img_010187.jpg            | 0.000
img_000229.jpg            | 0.000
img_012386.jpg            | 0.000
img_002886.jpg            | 0.000
img_004704.jpg            | 0.000
img_013632.jpg            | 0.000
img_001172.jpg            | 0.000
img_000646.jpg            | 0.000
img_000445.jpg            | 0.000
img_002423.jpg            | 0.000
img_003311.jpg            | 0.000
img_002061.jpg            | 0.000
img_000124.jpg            | 0.000
img_004904.jpg            | 0.000
img_012572.jpg            | 0.000
img_010780.jpg            | 0.000
img_004566.jpg            | 0.000
img_001101.jpg            | 0.000
img_012370.jpg            | 0.000
img_010724.jpg            | 0.000
img_003617.jpg            | 0.000
img_013478.jpg            | 0.000
