--- Relatório Detalhado de Falhas de Localização ---

Arquivo                   | Score IoU
img_003277.jpg            | 0.000
img_002035.jpg            | 0.000
img_011086.jpg            | 0.000
img_002235.jpg            | 0.000
img_011505.jpg            | 0.000
img_011866.jpg            | 0.000
img_003671.jpg            | 0.000
img_001321.jpg            | 0.000
img_001889.jpg            | 0.000
img_010693.jpg            | 0.000
img_014513.jpg            | 0.000
img_013050.jpg            | 0.000
img_004481.jpg            | 0.000
img_004119.jpg            | 0.000
img_013717.jpg            | 0.000
img_003146.jpg            | 0.000
img_011938.jpg            | 0.000
img_000506.jpg            | 0.000
img_003114.jpg            | 0.000
img_000782.jpg            | 0.000
img_000666.jpg            | 0.000
img_010343.jpg            | 0.000
img_013738.jpg            | 0.000
img_014452.jpg            | 0.000
img_012196.jpg            | 0.000
img_004556.jpg            | 0.000
img_013801.jpg            | 0.000
img_002009.jpg            | 0.000
img_010082.jpg            | 0.000
img_011777.jpg            | 0.000
img_010824.jpg            | 0.000
img_011231.jpg            | 0.000
img_004435.jpg            | 0.000
img_001882.jpg            | 0.000
img_004188.jpg            | 0.000
img_003061.jpg            | 0.000
img_000187.jpg            | 0.000
img_014808.jpg            | 0.000
img_012071.jpg            | 0.000
img_014222.jpg            | 0.000
img_002878.jpg            | 0.000
img_013382.jpg            | 0.000
img_010260.jpg            | 0.000
img_003554.jpg            | 0.000
img_004484.jpg            | 0.000
img_001684.jpg            | 0.000
img_010179.jpg            | 0.000
img_001333.jpg            | 0.000
img_000509.jpg            | 0.000
img_010544.jpg            | 0.000
img_001262.jpg            | 0.000
img_003915.jpg            | 0.000
img_004407.jpg            | 0.000
img_010660.jpg            | 0.000
img_004630.jpg            | 0.000
img_010788.jpg            | 0.000
img_004386.jpg            | 0.000
img_001767.jpg            | 0.000
img_003095.jpg            | 0.000
img_002325.jpg            | 0.000
img_011846.jpg            | 0.000
img_012487.jpg            | 0.000
img_003040.jpg            | 0.000
img_011551.jpg            | 0.000
img_004166.jpg            | 0.000
img_012946.jpg            | 0.000
img_002191.jpg            | 0.000
img_010701.jpg            | 0.000
img_010572.jpg            | 0.000
img_013129.jpg            | 0.000
img_013697.jpg            | 0.000
img_013805.jpg            | 0.000
img_000232.jpg            | 0.000
img_011084.jpg            | 0.000
img_013495.jpg            | 0.000
img_004409.jpg            | 0.000
img_010063.jpg            | 0.000
img_014854.jpg            | 0.000
img_003561.jpg            | 0.000
img_000107.jpg            | 0.000
img_003933.jpg            | 0.000
img_001469.jpg            | 0.000
img_002086.jpg            | 0.000
img_001350.jpg            | 0.000
img_013492.jpg            | 0.000
img_004980.jpg            | 0.000
img_002649.jpg            | 0.000
img_014368.jpg            | 0.000
img_001036.jpg            | 0.000
img_000120.jpg            | 0.000
img_011794.jpg            | 0.000
img_001124.jpg            | 0.000
img_011470.jpg            | 0.000
img_010562.jpg            | 0.000
img_002181.jpg            | 0.000
img_013070.jpg            | 0.000
img_010373.jpg            | 0.000
img_012485.jpg            | 0.000
img_010566.jpg            | 0.000
img_001797.jpg            | 0.000
img_004326.jpg            | 0.000
img_011537.jpg            | 0.000
img_004357.jpg            | 0.000
img_003357.jpg            | 0.000
img_010995.jpg            | 0.000
